Fulfilment Location,Parent Order Code,Shipment ID,Barcode,SKU,Barcode Location,Quantity
koskii tower,d9ad669d-af7a-4d4c-815f-586479e1720d,141188,K822484,SAUS0031845_RED,koskii tower,1
koskii jubilee hills,NYKF24107870,146554,B018D9B6C3E,SSUS0022506_PEACH,koskii jubilee hills,1
increff warehouse bangalore,5b3214a2-2e83-4878-9c31-8fa4d0a65d8c,154611,AF72DBCE0BB,SAUS0029652_LAVENDER,increff warehouse bangalore,1
increff warehouse bangalore,a80521d9-3915-4682-b083-d65e3f180161,166550,B9BD5251F82,SSUS0019607_PINK,increff warehouse bangalore,1
