Fulfilment Location Name,Channel Order ID,Parent Order ID,Shipment ID,External Item Code,Client SKU ID / EAN,Sales Channel
koskii karol bagh,KO210573,KO210573,154969,K852186,SSUS0020897_PEACH,SHOPIFYIN
koskii tower,KO210575,KO210575,154861,B5DF72FE3A5,SSUS0038805_MAROON,SHOPIFYIN
koskii rs puram,128319fc-8f51-47cd-8349-bd8a767fd5c6,128319fc-8f51-47cd-8349-bd8a767fd5c6,154712,K945710,SSUS0020108_PEACH,MYNTRA
koskii tower,8edbbd17-a639-4522-ac8e-af275627eb46,8edbbd17-a639-4522-ac8e-af275627eb46,154705,K1080617,SAUS0034608_BLACK,MYNTRA
koskii tower,KO210609,KO210609,154752,B5F0939A700,SAUS0038538_PISTA_GREEN,SHOPIFYIN
koskii karol bagh,KO210657,KO210657,155092,K937244,SSUS0020427_ONION_PINK,SHOPIFYIN
koskii banjara hills,KO210289,KO210289,154821,k1114893,SSUS0036000_BLACK,SHOPIFYIN
koskii karol bagh,KO210701,KO210701,155062,K976067,SSUS0019609_BOTTLE_GREEN,SHOPIFYIN
koskii annanagar,1d6cd066-2b3a-446a-9cf1-1a97c9534493,1d6cd066-2b3a-446a-9cf1-1a97c9534493,155162,B28F4EA19B2,SAUS0039302_RANI_PINK,MYNTRA
koskii tower,KO210761,KO210761,155147,,,SHOPIFYIN
koskii mg road kochi,fcf189ec-b93e-4934-8a64-33f0c613c174,fcf189ec-b93e-4934-8a64-33f0c613c174,155151,B0A4B0ADFD0,SAUS0020750_PINK,MYNTRA
koskii mg road kochi,770e86fb-51ba-4139-9973-c44108ef1394,770e86fb-51ba-4139-9973-c44108ef1394,155168,B5DA21764CC,SAUS0034607_WINE,MYNTRA
koskii mg road kochi,KO210814,KO210814,155315,b15e5b1ed65,SAUS0036132_PEACH,SHOPIFYIN
koskii mg road kochi,KO210816,KO210816,155228,B17B0E30ED8,SAUS0038558_CREAM_RANI_PINK,SHOPIFYIN
koskii mg road kochi,KO210834,KO210834,155320,b22ce26f5d8,SAUS0016921_BOTTLE_GREEN,SHOPIFYIN
koskii mg road kochi,KO210834,KO210834,155320,b1798d4919b,SAUS0038566_NAVY_BLUE,SHOPIFYIN
koskii mg road kochi,fd3558b8-24fe-4b85-a49a-c64c824564c2,fd3558b8-24fe-4b85-a49a-c64c824564c2,155324,k844879,SAUS0029621_RANI_PINK,MYNTRA
koskii mg road kochi,KO210879,KO210879,155504,B556655A5E0,SAUS0039010_RANI_PINK,SHOPIFYIN
koskii mg road kochi,KO210883,KO210883,155593,B024495F9B2,SAUS0034603_MAROON,SHOPIFYIN
koskii cathedral road,5d4ad3c6-a595-4995-9b87-03ee5dddedad,5d4ad3c6-a595-4995-9b87-03ee5dddedad,155421,B198227330C,SAUS0038521_RAMA_GREEN,MYNTRA
koskii tower,KO210901,KO210901,155490,K909474,SAUS0020113_WINE,SHOPIFYIN
koskii annanagar,KO210903,KO210903,155553,B15EB46F6A9,SAUS0036132_PISTA_GREEN,SHOPIFYIN
koskii mg road kochi,e8b36fae-8c2f-4e22-933c-05855340a285,e8b36fae-8c2f-4e22-933c-05855340a285,155519,K1100731,SAUS0016434_SKY_BLUE,MYNTRA
koskii cathedral road,b2cbedae-c8d8-4a12-a29a-f34ecc4ad1b9,b2cbedae-c8d8-4a12-a29a-f34ecc4ad1b9,155429,K839595,SAUS0030105_MEHENDI,MYNTRA
koskii karol bagh,KO210969,KO210969,155685,K980455,SSUS0034154_GREY,SHOPIFYIN
koskii south extension,KO211007,KO211007,155948,K936401,SAUS0021893_WINE,SHOPIFYIN
koskii commercial,1f433164-b6ed-4d01-8cd9-1c379b7b6f43,1f433164-b6ed-4d01-8cd9-1c379b7b6f43,155537,AF72B8B73A5,SAUS0029651_LAVENDER,MYNTRA
koskii cathedral road,KO211023,KO211023,155530,K1094349,SSUS0016946_LAVENDER,SHOPIFYIN
koskii jubilee hills,5919e099-42aa-4603-ba74-2f621cc7eec5,5919e099-42aa-4603-ba74-2f621cc7eec5,155547,K1037104,SAUS0034122_MAROON,MYNTRA
koskii banjara hills,KO211033,KO211033,155546,b17b22ceaab,SAUS0038558_RAMA_GREEN_NAVY_BLUE,SHOPIFYIN
koskii annanagar,KO211034,KO211034,155573,B4C59EA2D9A,SAUS0038899_ONION_PINK,SHOPIFYIN
koskii nexus mall,KO210942,KO210942,155833,B297497FE58,SAUS0039230_COPPER,SHOPIFYIN
koskii tower,KO211078,KO211078,155849,B20CD68E8B9,SAUS0036131_PEACH,SHOPIFYIN
koskii sarath city mall,9b0bbd95-9417-4b0e-af45-ec388235a4a9,9b0bbd95-9417-4b0e-af45-ec388235a4a9,155734,B4A2A5FC59F,SAUS0022390_MAUVE,MYNTRA
koskii tower,KO211116,KO211116,155863,B29204CDB22,SSUS0038714_BOTTLE_GREEN_MULTI,SHOPIFYIN
koskii sarath city mall,c7794e2e-da08-434a-bd16-ca283b916a62,c7794e2e-da08-434a-bd16-ca283b916a62,156062,K1117454,SAUS0038527_YELLOW_MULTI,MYNTRA
koskii karol bagh,KO211124,KO211124,155959,K1062754,SSUS0020904_ONION_PINK,SHOPIFYIN
koskii cathedral road,KO211178,KO211178,155832,B2910415E12,SSUS0038714_RANI_PINK_MULTI,SHOPIFYIN
koskii tower,3bf40d46-aa19-4908-93e9-d38fbdfea84d,3bf40d46-aa19-4908-93e9-d38fbdfea84d,156334,K1050288,SAUS0022526_PISTA_GREEN,MYNTRA
koskii jayanagar,KO211287,KO211287,156353,B17B2E2FF55,SAUS0038558_RAMA_GREEN_NAVY_BLUE,SHOPIFYIN
koskii sarath city mall,07396619-334a-41d9-8e69-3cd4c3cd8187,07396619-334a-41d9-8e69-3cd4c3cd8187,156351,B4C55D87309,SAUS0038899_ONION_PINK,MYNTRA
koskii cathedral road,KO211315,KO211315,156354,B556A6CBF5D,SAUS0039009_NAVY_BLUE,SHOPIFYIN
koskii jayanagar,bc3dbafd-124c-4c32-8588-f8acba64bd0a,bc3dbafd-124c-4c32-8588-f8acba64bd0a,156326,B2981C0C665,SAUS0039231_GREY,MYNTRA
koskii commercial,KO211329,KO211329,156482,K1095449,GCRM0032270_GREY_L,SHOPIFYIN
koskii karol bagh,cbf2381f-f882-48f4-a518-f5f8928ebea1,cbf2381f-f882-48f4-a518-f5f8928ebea1,156263,K984089,SAUS0034194_GREY,MYNTRA
koskii tower,c4063b02-d89a-4fb9-b637-42d5833eb796,c4063b02-d89a-4fb9-b637-42d5833eb796,156368,K1072308,SSRM0035209_GREEN_M,MYNTRA
koskii commercial,KO211396,KO211396,156473,B297FA7E1E4,SAUS0039231_GREY,SHOPIFYIN
koskii south extension,KO211399,KO211399,157331,K734006,SAUS0039937_SEA_GREEN,SHOPIFYIN
koskii south extension,KO211402,KO211402,156710,K957434,SSUS0031820_PEACOCK_GREEN,SHOPIFYIN
koskii karol bagh,KO211411,KO211411,156481,K853439,SSSS0021119_SEA_GREEN_MULTI,SHOPIFYIN
koskii mg road kochi,KO211418,KO211418,156709,B17B2454886,SAUS0038558_RAMA_GREEN_NAVY_BLUE,SHOPIFYIN
koskii mg road kochi,KO211424,KO211424,156716,B0A2DC73A78,SAUS0032409_PINK,SHOPIFYIN
koskii mg road kochi,KO211451,KO211451,157098,K1081192,SSUS0032221_PEACH,SHOPIFYIN
koskii cathedral road,08fa3e35-917c-4a44-9818-436ee0c9b258,08fa3e35-917c-4a44-9818-436ee0c9b258,156743,B28F4DDC70C,SAUS0039302_RANI_PINK,MYNTRA
koskii tower,KO211480,KO211480,156666,K985337,SSRM0031523_MEHENDI_L,SHOPIFYIN
koskii tower,65b57f76-ffc6-4fdf-98ac-5fe396fd4eb7,65b57f76-ffc6-4fdf-98ac-5fe396fd4eb7,156796,B5565C8360F,SAUS0039010_RANI_PINK,MYNTRA
koskii banjara hills,befd6059-53ce-4535-877f-2b056abfc2ed,befd6059-53ce-4535-877f-2b056abfc2ed,156700,B01985DD26A,SAUS0038517_SEA_GREEN,MYNTRA
koskii south extension,KO211490,KO211490,156713,K786130,SSUS0020106_PINK,SHOPIFYIN
koskii karol bagh,KO211495,KO211495,156784,K1100232,SSUS0036036_PINK,SHOPIFYIN
koskii cathedral road,KO211507,KO211507,156778,K1083609,SSRM0035213_BEIGE_L,SHOPIFYIN
koskii jayanagar,d0babd4e-0c61-4567-979b-49d82c3ec602,d0babd4e-0c61-4567-979b-49d82c3ec602,156714,B5EF2290015,SSUS0033072_YELLOW,MYNTRA
koskii karol bagh,KO211536,KO211536,156693,K940379,SAUS0021857_RED,SHOPIFYIN
koskii karol bagh,KO211241,KO211241,156911,K954740,SSUS0020834_BROWN,SHOPIFYIN
koskii cathedral road,KO211545,KO211545,156749,K871004,SSRM0031995_RUST_S,SHOPIFYIN
koskii tower,KO211550,KO211550,156897,K825309,SSRM0031524_WINE_XL,SHOPIFYIN
koskii mg road kochi,KO211557,KO211557,157195,K948568,SSRM0032522_PEACOCK_BLUE_M,SHOPIFYIN
koskii karol bagh,KO211577,KO211577,156827,K905124,SSUS0032171_PEACH,SHOPIFYIN
koskii mg road kochi,KO211617,KO211617,157135,B17B4717CC6,SAUS0038558_RANI_PINK_WINE,SHOPIFYIN
koskii nexus mall,KO211634,KO211634,157118,B20CB7AA03B,SAUS0036131_PEACH,SHOPIFYIN
koskii south extension,cdc235e3-31a8-417b-906e-9dca0915a647,cdc235e3-31a8-417b-906e-9dca0915a647,157344,B196E664407,SAUS0034893_PINK_MULTI,MYNTRA
koskii cathedral road,KO211670,KO211670,157082,K1117514,SSRM0038426_MAUVE_XXL,SHOPIFYIN
koskii annanagar,KO211696,KO211696,157360,K995291,SSRM0032966_MUSTARD_RED_M,SHOPIFYIN
koskii jubilee hills,KO211699,KO211699,157286,B124F94654B,SSSS0033073_LEAF_GREEN,SHOPIFYIN
koskii karol bagh,KO211718,KO211718,157216,K881867,SSUS0032168_SKY_BLUE,SHOPIFYIN
koskii mg road kochi,KO211728,KO211728,157258,B12139BA4AB,SAUS0022390_MAUVE,SHOPIFYIN
koskii mg road kochi,KO211754,KO211754,157608,AFD78D92911,SSUS0038845_BLACK,SHOPIFYIN
koskii tower,KO211806,KO211806,157574,K1018447,BLRM0034599_RAMA_GREEN_M,SHOPIFYIN
koskii annanagar,KO211832,KO211832,157616,K927294,SSUS0032171_GREY,SHOPIFYIN
koskii annanagar,ea5b95bb-a6e3-4673-8514-95999955b7a1,ea5b95bb-a6e3-4673-8514-95999955b7a1,157931,K879028,SSRM0032751_MUSTARD_PARROT_GREEN_L,MYNTRA
koskii jubilee hills,e7959aa3-2eb4-4a60-9b4a-998d6094b94f,e7959aa3-2eb4-4a60-9b4a-998d6094b94f,157653,B2976A02510,SAUS0039230_ONION_PINK,MYNTRA
koskii jubilee hills,KO211859,KO211859,157631,B1CE7833726,SSUS0038185_BLACK,SHOPIFYIN
koskii rs puram,3432aa29-91fa-425b-ac56-a1be212e3228,3432aa29-91fa-425b-ac56-a1be212e3228,157673,K1067031,SAUS0034871_BEIGE,MYNTRA
koskii rs puram,KO211864,KO211864,157539,k1070370,SAUS0034611_PURPLE,SHOPIFYIN
koskii south extension,KO211880,KO211880,157619,k956944,SAUS0020095_PISTA_GREEN,SHOPIFYIN
koskii annanagar,KO211881,KO211881,157723,K1117855,SAUS0033845_LAVENDER,SHOPIFYIN
koskii commercial,845cfa78-d6b5-4183-b979-179200a55c9c,845cfa78-d6b5-4183-b979-179200a55c9c,157770,K973138,SAUS0020094_NAVY_BLUE,MYNTRA
koskii sarath city mall,KO211944,KO211944,157784,B60C79C6A68,SSRM0039451_MAROON_M,SHOPIFYIN
koskii sarath city mall,6bea4917-0282-4874-bd0f-b71016445948,6bea4917-0282-4874-bd0f-b71016445948,158309,B19934798AA,SAUS0038526_RAMA_GREEN,MYNTRA
koskii mg road kochi,c367a001-8dc4-461c-af86-b50398a1d8d6,c367a001-8dc4-461c-af86-b50398a1d8d6,158089,B01973FF5D3,SAUS0038517_SEA_GREEN,MYNTRA
koskii cathedral road,a90deb19-97e3-4024-becf-26e3e128b216,a90deb19-97e3-4024-becf-26e3e128b216,157935,K1071570,SSRM0035087_MAROON_S,MYNTRA
koskii rs puram,KO211779,KO211779,157908,K1067267,SAUS0034871_PEACH,SHOPIFYIN
koskii cathedral road,KO212040,KO212040,158070,B8111A8728B,SAUS0039879_WINE,SHOPIFYIN
koskii jubilee hills,ec1bc57c-3a74-46c5-938d-7e0c403683ff,ec1bc57c-3a74-46c5-938d-7e0c403683ff,158140,K1031298,SAUS0033509_RANI_PINK,MYNTRA
koskii mg road kochi,KO211905,KO211905,158219,B556DE9FD06,SAUS0039010_ORANGE,SHOPIFYIN
koskii sarath city mall,KO212074,KO212074,158435,B73E1B5B195,SAUS0039430_PEACH_MAROON,SHOPIFYIN
koskii jayanagar,KO211900,KO211900,158373,K1106789,SSUS0038323_PEACH,SHOPIFYIN
koskii karol bagh,66a92fb4-7c55-4bbd-b5c7-7b673042d253,66a92fb4-7c55-4bbd-b5c7-7b673042d253,158462,B15E294AB26,SAUS0036132_LAVENDER,MYNTRA
koskii rs puram,443a60ed-3c27-4d64-bee5-3bbd077948d4,443a60ed-3c27-4d64-bee5-3bbd077948d4,158303,B28F5E6DE99,SAUS0039303_RED,MYNTRA
koskii karol bagh,KO212092,KO212092,158423,B4A2AD7AE42,SAUS0022390_MAUVE,SHOPIFYIN
koskii commercial,01c85b7b-622f-4c09-8f6a-a5d98e1afd12,01c85b7b-622f-4c09-8f6a-a5d98e1afd12,158432,K1059155,SSRM0034973_BABY_PINK_S,MYNTRA
koskii mg road kochi,cf332a1d-bf8c-486e-a3b3-b2bb6817d9bd,cf332a1d-bf8c-486e-a3b3-b2bb6817d9bd,158580,AF6C6DEE33F,SAUS0038526_RAMA_GREEN,MYNTRA
koskii commercial,3ba7ff32-c9fb-4d4f-9544-9f2712436701,3ba7ff32-c9fb-4d4f-9544-9f2712436701,158638,B73E07DF366,SAUS0039430_LAVENDER_PURPLE,MYNTRA
koskii tower,48e507bb-a4f9-409b-9aea-f2fd89274b3b,48e507bb-a4f9-409b-9aea-f2fd89274b3b,158689,B216219CD7D,SSUS0039221_PEACH,MYNTRA
koskii jubilee hills,07dd3c5c-08cc-4c91-be80-e577538feca8,07dd3c5c-08cc-4c91-be80-e577538feca8,158647,K933378,SAUS0032132_BOTTLE_GREEN,MYNTRA
koskii banjara hills,8ea99b7f-2dee-46cb-9149-2e66c7fa6742,8ea99b7f-2dee-46cb-9149-2e66c7fa6742,158554,B3127EC3B7B,SAUS0039299_RANI_PINK,MYNTRA
koskii jayanagar,5dd0a387-c755-423a-af5e-9259272f7442,5dd0a387-c755-423a-af5e-9259272f7442,158707,B63A7703BD9,SAUS0039922_PEACH,MYNTRA
koskii tower,5ed80afa-403b-4d81-978a-d7e66348540c,5ed80afa-403b-4d81-978a-d7e66348540c,158721,B620BCCD9EC,SAUS0039876_PURPLE,MYNTRA
koskii cathedral road,3b813951-5043-40df-bcbf-769458e1b6f3,3b813951-5043-40df-bcbf-769458e1b6f3,158579,K893079,SAUS0029652_SEA_GREEN,MYNTRA
koskii jayanagar,4186477e-5026-466a-b0d5-13b3c4dc08ad,4186477e-5026-466a-b0d5-13b3c4dc08ad,158748,K1099933,SAUS0021891_PEACOCK_BLUE,MYNTRA
koskii jubilee hills,NYK-22478112-2028758-2-1,NYKF24804019,158617,B65FA046AB9,SAUS0032198_LEAF_GREEN,NYKAA
koskii karol bagh,KO212197,KO212197,158739,K1084208,SSUS0033106_MEHENDI,SHOPIFYIN
koskii commercial,0ef77450-089f-4516-b608-2b2ca17cdb39,0ef77450-089f-4516-b608-2b2ca17cdb39,158747,B60C90CC792,SSRM0039451_MAROON_XL,MYNTRA
koskii annanagar,eb1160e3-8a65-40b7-8f99-4491cf25d287,eb1160e3-8a65-40b7-8f99-4491cf25d287,158677,K1084121,SAUS0021891_PEACOCK_BLUE,MYNTRA
koskii rs puram,KO212212,KO212212,158937,B424FDA922A,SSUS0038323_PARROT_GREEN,SHOPIFYIN
koskii south extension,KO212228,KO212228,159153,B388C0C95D1,SSUS0038956_SEA_GREEN_MULTI,SHOPIFYIN
koskii cathedral road,KO212247,KO212247,158756,K1018365,DURM0034601_BOTTLE_GREEN,SHOPIFYIN
koskii karol bagh,f78f3d1b-5c2c-4c90-bc00-718b87241a65,f78f3d1b-5c2c-4c90-bc00-718b87241a65,158815,B2A80F85D4E,SAUS0039306_MAROON,MYNTRA
koskii tower,KO212271,KO212271,159307,K1066047,SAUS0021014_RANI_PINK,SHOPIFYIN
koskii karol bagh,d42f0d87-4035-487a-8109-a6231ae5c902,d42f0d87-4035-487a-8109-a6231ae5c902,158822,K966708,SSRM0032671_PURPLE_S,MYNTRA
koskii rs puram,7d98e127-9366-4778-9caa-9a604f4d2988,7d98e127-9366-4778-9caa-9a604f4d2988,158957,K913266,SSUS0032172_YELLOW,MYNTRA
koskii jayanagar,a0ffe9da-dcb0-40f8-9231-f5ad1cb1efd2,a0ffe9da-dcb0-40f8-9231-f5ad1cb1efd2,159136,K1107592,SSUS0038280_CREAM_MULTI,MYNTRA
koskii nexus mall,KO212329,KO212329,159137,B24EDFD9A5E,SSUS0039237_TURQUOISE_BLUE,SHOPIFYIN
koskii tower,4d0df50b-85a9-473a-8908-4043218d039f,4d0df50b-85a9-473a-8908-4043218d039f,159345,B540A3FF6BA,SSUS0039461_GREY,MYNTRA
koskii annanagar,4e0d8621-ce75-4774-a91b-06b8daf84659,4e0d8621-ce75-4774-a91b-06b8daf84659,159759,B7653ECDB97,SAUS0017312_WINE,MYNTRA
koskii jayanagar,aab10dc8-86d0-459b-a141-bb755286e810,aab10dc8-86d0-459b-a141-bb755286e810,159834,B759B7F4ACA,SAUS0039416_TURQUOISE_BLUE,MYNTRA
koskii banjara hills,KO212434,KO212434,159245,K1107074,SSUS0035920_CREAM_PINK,SHOPIFYIN
koskii south extension,KO212451,KO212451,159782,AF6C4A43599,SAUS0038526_RED,SHOPIFYIN
koskii banjara hills,b60bccba-6cd5-4bff-82b6-f1a3d5d34bef,b60bccba-6cd5-4bff-82b6-f1a3d5d34bef,159358,B5DD9EE8ABF,SAUS0033513_SEA_GREEN,MYNTRA
koskii south extension,NYK-22502866-1285746-1-1,NYKF24831424,160068,B7E35565B6A,SAUS0038898_RAMA_GREEN,NYKAA
koskii banjara hills,53da39b7-a22a-44c9-b293-5f3c5c619af0,53da39b7-a22a-44c9-b293-5f3c5c619af0,159892,k1036439,SSRM0032976_MUSTARD_XL,MYNTRA
koskii tower,685940d4-ba6e-4fdf-9411-2e051d28c504,685940d4-ba6e-4fdf-9411-2e051d28c504,159710,B5B58906E89,SSUS0038804_RANI_PINK,MYNTRA
koskii cathedral road,KO212539,KO212539,159876,K1018437,BLRM0034599_RAMA_GREEN_M,SHOPIFYIN
koskii jubilee hills,KO212543,KO212543,159722,K1066096,SAUS0021014_RANI_PINK,SHOPIFYIN
koskii south extension,KO212549,KO212549,160089,K735256,SSUS0029234_PISTA_GREEN_MULTI,SHOPIFYIN
koskii south extension,KO212449,KO212449,160034,K1026299,SAUS0020094_NAVY_BLUE,SHOPIFYIN
koskii mg road kochi,c2c8494e-861f-4b5e-b4a6-b68287817792,c2c8494e-861f-4b5e-b4a6-b68287817792,160204,K1009973,SSRM0029790_SEA_GREEN_S,MYNTRA
koskii sarath city mall,KO212582,KO212582,160087,B1B690A9F79,SAUS0038814_MUSTARD_MAROON,SHOPIFYIN
koskii tower,KO212609,KO212609,161907,,,SHOPIFYIN
koskii annanagar,KO212620,KO212620,160282,B5B533D2709,SAUS0039908_RUST_MULTI,SHOPIFYIN
koskii commercial,7d3ce855-2b26-474c-8004-2c097b14975a,7d3ce855-2b26-474c-8004-2c097b14975a,160025,K1076003,SSUS0035418_PINK,MYNTRA
koskii jayanagar,113ee718-acb6-44df-8591-8dee410844ee,113ee718-acb6-44df-8591-8dee410844ee,160241,K1034554,SAUS0034614_PINK,MYNTRA
koskii tower,963571ad-953f-46d8-8337-80735fd1e17b,963571ad-953f-46d8-8337-80735fd1e17b,160042,B538F8E9AC4,SSUS0039220_ONION_PINK,MYNTRA
koskii commercial,KO212654,KO212654,160032,K886825,BLRM0032743_PARROT_GREEN_L,SHOPIFYIN
koskii karol bagh,KO212728,KO212728,160630,K900371,SAUS0017434_RED,SHOPIFYIN
koskii jayanagar,0aa9168b-da7a-4205-aab6-a2cb1d6e3c38,0aa9168b-da7a-4205-aab6-a2cb1d6e3c38,160775,B70B3AF13B5,SAUS0032196_OFF_WHITE,MYNTRA
koskii annanagar,KO212731,KO212731,160235,K984882,SSRM0029789_MAROON_L,SHOPIFYIN
koskii sarath city mall,40a751cf-a3bf-4c0e-9b04-c214c5df4558,40a751cf-a3bf-4c0e-9b04-c214c5df4558,160497,K1115379,SAUS0034823_LAVENDER,MYNTRA
koskii annanagar,KO212741,KO212741,160283,K916742,DURM0033041_MULTI,SHOPIFYIN
koskii jayanagar,b6e6b743-d559-4362-bfd1-abb19dd6d22e,b6e6b743-d559-4362-bfd1-abb19dd6d22e,160779,K959228,SSRM0032885_BLACK_XL,MYNTRA
koskii nexus mall,KO212778,KO212778,160767,b63ace74cb7,SAUS0039922_RUST,SHOPIFYIN
koskii karol bagh,KO212786,KO212786,160289,k1110047,SSUS0038257_RED,SHOPIFYIN
koskii jubilee hills,KO212795,KO212795,160612,B631B8094D6,SAUS0038899_BEIGE,SHOPIFYIN
koskii rs puram,KO212654,KO212654,160419,k537921,BLRM0022155_GOLD_L,SHOPIFYIN
koskii jubilee hills,2eb8fe38-848a-4b2e-90a5-f0a0e1742e10,2eb8fe38-848a-4b2e-90a5-f0a0e1742e10,161302,B1981D61D8B,SAUS0038521_RAMA_GREEN,MYNTRA
koskii rs puram,f8aab0d9-2ebb-473e-aee1-3c5839208e9e,f8aab0d9-2ebb-473e-aee1-3c5839208e9e,160810,B19829208B1,SAUS0038521_RAMA_GREEN,MYNTRA
koskii tower,KO212863,KO212863,160814,B64D691995A,SAUS0038848_MAROON,SHOPIFYIN
koskii sarath city mall,bd52cb53-7dee-4e01-959e-ad45e08066f1,bd52cb53-7dee-4e01-959e-ad45e08066f1,160833,K1038256,SSRM0019919_NAVY_BLUE_XL,MYNTRA
koskii tower,KO212877,KO212877,161072,K729418,SAUS0029915_MAUVE,SHOPIFYIN
koskii tower,255da806-6b7c-4019-8c88-846390536e97,255da806-6b7c-4019-8c88-846390536e97,160821,B215FA1065B,SSUS0039220_PISTA_GREEN,MYNTRA
koskii cathedral road,a82ea44e-6bdb-4ed2-90cc-4d2cad03eb13,a82ea44e-6bdb-4ed2-90cc-4d2cad03eb13,160732,B0749E9C1D3,SAUS0032358_ONION_PINK,MYNTRA
koskii annanagar,defb2fc0-88e9-4605-ba35-a21a98fc8a72,defb2fc0-88e9-4605-ba35-a21a98fc8a72,160784,b7087616ff7,SAUS0039880_PURPLE,MYNTRA
koskii rs puram,KO212914,KO212914,161284,k886792,BLRM0032743_PARROT_GREEN_S,SHOPIFYIN
koskii commercial,392c3d35-ab3c-4454-8859-f53262828dc9,392c3d35-ab3c-4454-8859-f53262828dc9,160840,B73DC5098BA,SAUS0039430_PISTA_GREEN_BOTTLE_GREEN,MYNTRA
koskii annanagar,c46daf80-cdb6-4621-94d5-4b790b2fd590,c46daf80-cdb6-4621-94d5-4b790b2fd590,160762,B80FEF678B5,SAUS0039880_TURQUOISE_BLUE,MYNTRA
koskii south extension,KO212968,KO212968,161559,K1114912,SSUS0036000_BLACK,SHOPIFYIN
koskii cathedral road,KO212981,KO212981,160765,B4B15B48FDB,SAUS0038450_BLACK_MULTI,SHOPIFYIN
koskii nexus mall,65a7590b-d4d8-439c-95f0-dfd87125bbf9,65a7590b-d4d8-439c-95f0-dfd87125bbf9,160992,B556A31E284,SAUS0039009_NAVY_BLUE,MYNTRA
koskii karol bagh,1b967c05-bfa0-46ec-bac9-d8d26ce6f909,1b967c05-bfa0-46ec-bac9-d8d26ce6f909,160849,K1075078,SSUS0035079_PINK,MYNTRA
koskii tower,607fd523-cf20-4bf4-9b4d-7fd02ecbf3cd,607fd523-cf20-4bf4-9b4d-7fd02ecbf3cd,161091,K1017724,SSRM0032962_PURPLE_XL,MYNTRA
koskii karol bagh,f88cecec-51b0-4218-a5c3-058b275dd0e0,f88cecec-51b0-4218-a5c3-058b275dd0e0,161148,B7085F6E682,SAUS0039880_TURQUOISE_BLUE,MYNTRA
koskii jubilee hills,4cd8038c-2d94-4b4e-9e62-9684726cae0c,4cd8038c-2d94-4b4e-9e62-9684726cae0c,161154,B632107CFB0,SAUS0032534_PINK,MYNTRA
koskii jayanagar,3bf8e1b3-65f0-4449-b4f8-511ab65319b3,3bf8e1b3-65f0-4449-b4f8-511ab65319b3,161700,B26584679AF,SAUS0038847_YELLOW,MYNTRA
koskii annanagar,28145e04-7218-46cd-afad-2ad6ded8514e,28145e04-7218-46cd-afad-2ad6ded8514e,161555,B7D4F2BB5EA,SAUS0036132_PISTA_GREEN,MYNTRA
koskii jubilee hills,c751b7c5-f1b8-4bd4-b934-7e68e68eeb60,c751b7c5-f1b8-4bd4-b934-7e68e68eeb60,161489,B5569F66D24,SAUS0039009_NAVY_BLUE,MYNTRA
koskii jayanagar,76aeaea1-448a-4bf7-b58f-14186f169ee3,76aeaea1-448a-4bf7-b58f-14186f169ee3,161704,B60C7B11101,SSRM0039451_MAROON_M,MYNTRA
koskii annanagar,cb15d787-e9ce-4982-a16f-b2ac416c50f1,cb15d787-e9ce-4982-a16f-b2ac416c50f1,161587,B5DD995E273,SAUS0033513_SEA_GREEN,MYNTRA
koskii annanagar,KO213123,KO213123,161591,B2B4EDABF8D,SSUS0033248_SEA_GREEN,SHOPIFYIN
koskii sarath city mall,9352973c-b3db-413b-a30b-00ced7475cd4,9352973c-b3db-413b-a30b-00ced7475cd4,161903,B80FF1836A5,SAUS0039880_TURQUOISE_BLUE,MYNTRA
koskii tower,2c85ab47-cf21-4cf9-aed9-b4f6bace3b05,2c85ab47-cf21-4cf9-aed9-b4f6bace3b05,161479,K774683,SAUS0019874_BLACK,MYNTRA
koskii south extension,KO213173,KO213173,161609,B1B767BBBDE,SAUS0036131_SKY_BLUE,SHOPIFYIN
koskii annanagar,KO213180,KO213180,161772,K948705,SSRM0033713_MUSTARD_XS,SHOPIFYIN
koskii tower,KO213184,KO213184,161913,K1017713,SSRM0032962_PURPLE_S,SHOPIFYIN
koskii jubilee hills,c91c22d2-c403-4abc-b91a-717ef393e6b5,c91c22d2-c403-4abc-b91a-717ef393e6b5,161746,B6AFE3DE3F0,SAUS0032361_MAUVE,MYNTRA
koskii tower,KO213233,KO213233,161915,B4EB2DA5907,SSUS0038958_ONION_PINK,SHOPIFYIN
koskii tower,d81ffdaf-07e4-438f-84e4-531d0d7b2af8,d81ffdaf-07e4-438f-84e4-531d0d7b2af8,161919,B28F53A041B,SAUS0039302_RANI_PINK,MYNTRA
koskii karol bagh,KO210582,KO210582,154842,K928263,SSUS0019295_NAVY_BLUE,SHOPIFYIN
koskii karol bagh,KO210596,KO210596,155204,K976933,SSRM0032684_RANI_PINK_M,SHOPIFYIN
koskii karol bagh,KO210619,KO210619,154996,K825491,SSUS0020834_BOTTLE_GREEN,SHOPIFYIN
koskii jayanagar,KO210625,KO210625,154895,K1059569,SAUS0032719_SKY_BLUE,SHOPIFYIN
koskii tower,57574037-0652-4373-86f6-3fb4512ca424,57574037-0652-4373-86f6-3fb4512ca424,154755,K999509,SSRM0032962_PURPLE_XL,MYNTRA
koskii jubilee hills,9feacfed-e57c-4e48-b462-121394da1f6e,9feacfed-e57c-4e48-b462-121394da1f6e,154851,B5DA299744E,SAUS0034607_WINE,MYNTRA
