Fulfilment Location Name,Channel Order ID,Parent Order ID,Shipment ID,External Item Code,Client SKU ID / EAN,Sales Channel
increff warehouse bangalore,KO210765,KO210765,155081,K1060502,SSSS0020422_PEACOCK_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210682,KO210682,155142,K1060505,SSSS0020422_PEACOCK_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210682,KO210682,155142,K1060506,SSSS0020422_PEACOCK_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210731,KO210731,155101,K1084539,SAUS0029623_PEACOCK_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210527,KO210527,155087,AF73676E538,SAUS0029651_PISTA_GREEN,SHOPIFYIN
increff warehouse bangalore,KO210741,KO210741,155146,B0DF7D3F900,SSUS0038936_LAVENDER,SHOPIFYIN
increff warehouse bangalore,KO210741,KO210741,155146,B1991E743F3,SSUS0038704_LAVENDER,SHOPIFYIN
increff warehouse bangalore,KO210703,KO210703,155137,B1DE2919D7C,SSUS0033248_SEA_GREEN,SHOPIFYIN
increff warehouse bangalore,KO210762,KO210762,155110,B286328E078,SAUS0036131_PEACH,SHOPIFYIN
increff warehouse bangalore,KO210694,KO210694,155128,B286206D899,SAUS0036131_PEACH,SHOPIFYIN
increff warehouse bangalore,KO210755,KO210755,155113,B2861EE095D,SAUS0036131_PEACH,SHOPIFYIN
increff warehouse bangalore,KO210712,KO210712,155090,B293D0C57CE,SSUS0038715_RANI_PINK_MULTI,SHOPIFYIN
increff warehouse bangalore,KO210744,KO210744,155132,B30DA3FC6E3,SAUS0022138_MEHENDI,SHOPIFYIN
increff warehouse bangalore,KO210700,KO210700,155112,B410E2D774F,SSSS0030337_CREAM_NAVY_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210756,KO210756,155084,B1B5F6486DF,SSUS0033136_PURPLE,SHOPIFYIN
increff warehouse bangalore,KO210753,KO210753,155099,B4954EAB7D0,SSUS0022158_PEACH,SHOPIFYIN
increff warehouse bangalore,KO210693,KO210693,155098,B49806CDFD0,SSUS0038966_LAVENDER,SHOPIFYIN
increff warehouse bangalore,KO210681,KO210681,155106,B4B0A06B101,SSUS0038411_SKY_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210691,KO210691,155104,B4B02FC4724,SSUS0038411_SKY_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210563,KO210563,155130,B556828B111,SAUS0039009_NAVY_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210764,KO210764,155116,B5CB5E79383,SSUS0032234_SKY_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210678,KO210678,155120,B6B3BF60118,SAUS0038435_PISTA_GREEN,SHOPIFYIN
increff warehouse bangalore,KO210497,KO210497,155077,B6C17F97689,SSUS0039761_BLUE_MULTI,SHOPIFYIN
increff warehouse bangalore,KO210741,KO210741,155146,B6C192F6647,SSUS0039762_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210607,KO210607,154766,K735198,SSUS0029234_PEACH_MULTI,SHOPIFYIN
increff warehouse bangalore,KO210647,KO210647,154875,K919715,SSUS0019609_BLACK,SHOPIFYIN
increff warehouse bangalore,KO210647,KO210647,154875,K919718,SSUS0019609_BLACK,SHOPIFYIN
increff warehouse bangalore,KO210545,KO210545,154786,K977968,SSRM0032705_PINK_M,SHOPIFYIN
increff warehouse bangalore,KO210621,KO210621,154818,K1016949,SAUS0033843_LAVENDER,SHOPIFYIN
increff warehouse bangalore,KO210653,KO210653,154827,K1029822,SAUS0034614_PINK,SHOPIFYIN
increff warehouse bangalore,KO210653,KO210653,154827,K1051835,GCRM0032517_LAVENDER_MULTI_L,SHOPIFYIN
increff warehouse bangalore,KO210215,KO210215,154776,K1056713,SSRM0032964_CREAM_RED_L,SHOPIFYIN
increff warehouse bangalore,KO210602,KO210602,154769,K1066001,SAUS0021014_RANI_PINK,SHOPIFYIN
increff warehouse bangalore,KO210550,KO210550,154876,K1076974,SAUS0017318_ONION_PINK,SHOPIFYIN
increff warehouse bangalore,KO210322,KO210322,154778,K1090034,SAUS0034321_CREAM,SHOPIFYIN
increff warehouse bangalore,KO210603,KO210603,154868,K1108785,SSUS0035304_PARROT_GREEN_MULTI,SHOPIFYIN
increff warehouse bangalore,KO210651,KO210651,154775,K1116456,SAUS0030407_LAVENDER,SHOPIFYIN
increff warehouse bangalore,KO210502,KO210502,154789,AF69BA6F72B,SAUS0032362_LAVENDER,SHOPIFYIN
increff warehouse bangalore,KO210616,KO210616,154800,B0A340A5611,SAUS0032408_PINK,SHOPIFYIN
increff warehouse bangalore,KO210523,KO210523,154880,AF6C58E61D2,SAUS0038526_RED,SHOPIFYIN
increff warehouse bangalore,KO210353,KO210353,154792,AF6C5345CB7,SAUS0038526_RED,SHOPIFYIN
increff warehouse bangalore,KO210675,KO210675,154872,B121FFC6938,SSUS0021719_WINE,SHOPIFYIN
increff warehouse bangalore,KO210674,KO210674,154866,B286259E9F9,SAUS0036131_PEACH,SHOPIFYIN
increff warehouse bangalore,KO210612,KO210612,154764,B293B25F7B0,SSUS0038715_RANI_PINK_MULTI,SHOPIFYIN
increff warehouse bangalore,KO210666,KO210666,154846,B1B71F6FA51,SAUS0039153_NAVY_BLUE_RANI_PINK,SHOPIFYIN
increff warehouse bangalore,KO210660,KO210660,154844,B47493DD840,SSUS0038809_GREY,SHOPIFYIN
increff warehouse bangalore,KO210575,KO210575,154855,B4749319B8D,SSUS0038809_GREY,SHOPIFYIN
increff warehouse bangalore,KO210660,KO210660,154844,B474B2E65B3,SSUS0038810_PINK,SHOPIFYIN
increff warehouse bangalore,KO210483,KO210483,154777,B495432F33D,SSUS0022158_PEACH,SHOPIFYIN
increff warehouse bangalore,KO210605,KO210605,154787,B4E95779AB2,SSUS0032230_PINK,SHOPIFYIN
increff warehouse bangalore,KO210487,KO210487,154802,B538F600C54,SSUS0039220_ONION_PINK,SHOPIFYIN
increff warehouse bangalore,KO210487,KO210487,154802,B59F66FA219,SSUS0033136_SEA_GREEN,SHOPIFYIN
increff warehouse bangalore,KO210636,KO210636,154763,B5A28A77EE2,SSUS0033248_LAVENDER_PEACH,SHOPIFYIN
increff warehouse bangalore,KO210621,KO210621,154818,B5C7E19E023,SAUS0018647_MAUVE,SHOPIFYIN
increff warehouse bangalore,KO210507,KO210507,154863,B5DAC975542,SSUS0038320_PINK,SHOPIFYIN
increff warehouse bangalore,KO210529,KO210529,154854,B5DD61552F0,SAUS0033513_ONION_PINK,SHOPIFYIN
increff warehouse bangalore,KO210498,KO210498,154796,B5DE77E176F,SSUS0038806_PURPLE,SHOPIFYIN
increff warehouse bangalore,KO210575,KO210575,154855,B5DF66D124A,SSUS0038805_PEACOCK_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210511,KO210511,154795,B5EC8393906,SAUS0032198_LEAF_GREEN,SHOPIFYIN
increff warehouse bangalore,KO210487,KO210487,154802,B5EE3944752,SSUS0038783_MEHENDI,SHOPIFYIN
increff warehouse bangalore,KO210616,KO210616,154800,B6A101AC2AA,SAUS0030378_BOTTLE_GREEN,SHOPIFYIN
increff warehouse bangalore,NYK-22311980-3648924-1-1,NYKF24619444,154820,AF69B6F5A5A,SAUS0032362_LAVENDER,NYKAA
increff warehouse bangalore,NYK-22298830-9900003-1-1,NYKF24605247,154823,K954954,SSUS0019606_PARROT_GREEN,NYKAA
increff warehouse bangalore,NYK-22315620-5368358-1-1,NYKF24623454,154837,B5C7B60E759,SAUS0017014_YELLOW,NYKAA
increff warehouse bangalore,NYK-22316060-6712930-1-1,NYKF24623910,154877,B5EC7B7EC24,SAUS0032198_LEAF_GREEN,NYKAA
increff warehouse bangalore,KO210468,KO210468,154790,B193DCAA065,SAUS0038518_MUSTARD,SHOPIFYIN
increff warehouse bangalore,KO210504,KO210504,154798,B611AC6EA7F,SSUS0039425_RED_MULTI,SHOPIFYIN
increff warehouse bangalore,KO210648,KO210648,154858,B6AFE6A19A1,SAUS0032361_MAUVE,SHOPIFYIN
increff warehouse bangalore,KO210679,KO210679,154879,B61379AFC87,SSUS0038967_PEACH,SHOPIFYIN
increff warehouse bangalore,NYK-22318597-5206444-1-1,NYKF24626762,155080,K909411,SAUS0017318_PEACH,NYKAA
increff warehouse bangalore,NYK-22322157-6667020-3-1,NYKF24630455,155097,B5EC7DD6C9B,SAUS0032198_LEAF_GREEN,NYKAA
increff warehouse bangalore,NYK-22321758-5347377-1-1,NYKF24630023,155138,K979883,SSUS0014331_GOLD_YELLOW,NYKAA
increff warehouse bangalore,NYK-22317742-2301747-3-1,NYKF24625800,155139,K1079896,SAUS0032362_LAVENDER,NYKAA
increff warehouse bangalore,NYK-22326213-7398069-1-1,NYKF24635033,155141,K1041774,SSRM0032958_RANI_PINK_XL,NYKAA
increff warehouse bangalore,c6854e0f-cdae-44d8-9a58-8385edc11795,c6854e0f-cdae-44d8-9a58-8385edc11795,154999,K1117729,SAUS0018647_MAUVE,MYNTRA
increff warehouse bangalore,cf9587c7-1982-412f-8e0f-1a854eb664a2,cf9587c7-1982-412f-8e0f-1a854eb664a2,155000,K1031555,SAUS0032726_PINK_MULTI,MYNTRA
increff warehouse bangalore,22723d92-8297-4be1-bf32-27c7366516cc,22723d92-8297-4be1-bf32-27c7366516cc,155003,B2B4EBDBDF4,SSUS0033248_SEA_GREEN,MYNTRA
increff warehouse bangalore,f2d4da0a-364a-4240-a1ee-5882fcc61c04,f2d4da0a-364a-4240-a1ee-5882fcc61c04,155004,K1106481,SSUS0036034_LAVENDER,MYNTRA
increff warehouse bangalore,7564d3fa-894b-462a-ac31-a35770d862b2,7564d3fa-894b-462a-ac31-a35770d862b2,155006,B631F3A21F7,SAUS0038899_GREY,MYNTRA
increff warehouse bangalore,e7dcf36d-c1c4-4e89-ad07-f50abb978810,e7dcf36d-c1c4-4e89-ad07-f50abb978810,155011,K1106484,SSUS0036034_LAVENDER,MYNTRA
increff warehouse bangalore,003baa8d-930a-44df-80be-e48aa1d1300f,003baa8d-930a-44df-80be-e48aa1d1300f,155012,B4EB35FE816,SSUS0038958_ONION_PINK,MYNTRA
increff warehouse bangalore,49a80bcc-50d1-4d20-8250-ee122352f682,49a80bcc-50d1-4d20-8250-ee122352f682,155018,K1118410,SAUS0032358_ONION_PINK,MYNTRA
increff warehouse bangalore,a20d9621-78cc-4d64-ba17-2c95a495f6ec,a20d9621-78cc-4d64-ba17-2c95a495f6ec,155024,K1115470,SAUS0017312_WINE,MYNTRA
increff warehouse bangalore,4dcf19fc-f604-4be4-a724-18efa4ab7d8a,4dcf19fc-f604-4be4-a724-18efa4ab7d8a,155028,K1039672,SAUS0034119_MUSTARD,MYNTRA
increff warehouse bangalore,80c0874a-897b-4373-99b4-2af2ba849bba,80c0874a-897b-4373-99b4-2af2ba849bba,154817,B6B00CB0A67,SAUS0032361_MAUVE,MYNTRA
increff warehouse bangalore,990169bc-2de5-4685-bcfd-2dd3d400968e,990169bc-2de5-4685-bcfd-2dd3d400968e,154870,B0261D2C0ED,SAUS0018647_MAUVE,MYNTRA
increff warehouse bangalore,KO210758,KO210758,155143,B4E95D5C6C4,SSUS0032230_PINK,SHOPIFYIN
increff warehouse bangalore,KO210758,KO210758,155143,B5B5B5349B3,SSUS0038804_MEHENDI,SHOPIFYIN
increff warehouse bangalore,KO210590,KO210590,154804,B1DE185F093,SSUS0033248_SEA_GREEN,SHOPIFYIN
increff warehouse bangalore,KO210590,KO210590,154804,B5A22FD1137,SSUS0033248_LAVENDER_PEACH,SHOPIFYIN
increff warehouse bangalore,KO210577,KO210577,154841,K1049459,SSSS0020422_PEACOCK_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210577,KO210577,154841,B0A376002DD,SAUS0020747_ONION_PINK,SHOPIFYIN
increff warehouse bangalore,KO210624,KO210624,155071,K978159,SSRM0032704_LIGHT_GREY_YELLOW_M,SHOPIFYIN
increff warehouse bangalore,KO210702,KO210702,155091,K1071676,SSRM0035086_MAGENTA_PINK_L,SHOPIFYIN
increff warehouse bangalore,KO210685,KO210685,155115,K1059699,SAUS0034893_SEA_GREEN_MULTI,SHOPIFYIN
increff warehouse bangalore,KO210707,KO210707,155117,B1D4039251B,SSUS0032230_PINK,SHOPIFYIN
increff warehouse bangalore,KO210724,KO210724,155196,B4B3EE0B879,SAUS0029651_PISTA_GREEN,SHOPIFYIN
increff warehouse bangalore,13bf5f89-cc29-44f0-84ac-84d5666ac869,c0bd3f83-676c-4504-b960-1dc5628d8fc3,155317,B4224D3B055,SAUS0016860_RANI_PINK,MYNTRA
increff warehouse bangalore,KO210578,KO210578,155198,B4E95F3D4CB,SSUS0032230_PINK,SHOPIFYIN
increff warehouse bangalore,KO210735,KO210735,155213,K1117752,SAUS0017312_WINE,SHOPIFYIN
increff warehouse bangalore,KO210733,KO210733,155218,K1104544,SSUS0038245_PEACH_MULTI,SHOPIFYIN
increff warehouse bangalore,KO210736,KO210736,155248,B2862665238,SAUS0036131_PEACH,SHOPIFYIN
increff warehouse bangalore,KO210726,KO210726,155249,B2862A5B748,SAUS0036131_PEACH,SHOPIFYIN
increff warehouse bangalore,KO210725,KO210725,155250,K955137,SSUS0019606_PARROT_GREEN,SHOPIFYIN
increff warehouse bangalore,KO210737,KO210737,155251,B65FC772DF9,SAUS0032198_TURQUOISE_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210729,KO210729,155253,B1BA080E513,SAUS0038406_MEHENDI_RANI_PINK,SHOPIFYIN
increff warehouse bangalore,KO210722,KO210722,155258,B0F87953C35,SSUS0033072_YELLOW,SHOPIFYIN
increff warehouse bangalore,KO210722,KO210722,155258,B5DAD429854,SSUS0038320_PINK,SHOPIFYIN
increff warehouse bangalore,KO210689,KO210689,155259,B1D1AD03E91,SSUS0033136_SEA_GREEN,SHOPIFYIN
increff warehouse bangalore,KO210689,KO210689,155259,B410F4D234D,SSSS0030337_CREAM_NAVY_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210730,KO210730,155265,B612E88A9A6,SSUS0038967_PEACH,SHOPIFYIN
increff warehouse bangalore,KO210717,KO210717,155270,B5DF5C968C0,SSUS0038805_RANI_PINK,SHOPIFYIN
increff warehouse bangalore,KO210720,KO210720,155276,K1095080,SAUS0021889_GREY,SHOPIFYIN
